0.906,0.423,0.436
1.813,0.845,0.436
2.719,1.268,0.436
3.625,1.69,0.436
4.532,2.113,0.436
5.438,2.536,0.436
6.344,2.958,0.436
7.25,3.381,0.436
8.157,3.804,0.436
9.063,4.226,0.436
9.969,4.649,0.436
10.876,5.071,0.436
11.782,5.494,0.436
12.688,5.917,0.436
13.595,6.339,0.436
14.501,6.762,0.436
14.501,6.762,0.0
15.501,6.762,0.0
16.501,6.762,0.0
17.501,6.762,0.0
18.501,6.762,0.0
19.501,6.762,0.0
20.501,6.762,0.0
21.501,6.762,0.0
22.501,6.762,0.0
22.501,6.762,-0.436
23.407,6.339,-0.436
24.314,5.917,-0.436
25.22,5.494,-0.436
26.126,5.071,-0.436
26.126,5.071,-0.873
26.769,4.305,-0.873
27.412,3.539,-0.873
27.412,3.539,-1.309
27.671,2.573,-1.309
27.671,2.573,-1.745
27.671,2.573,-1.745

27.671,2.573,-1.309
27.671,2.573,-1.309

27.671,2.573,-1.309
27.93,1.607,-1.309
27.93,1.607,-0.872
28.573,0.841,-0.872
28.573,0.841,-0.872

27.93,1.607,-1.745
27.93,1.607,-1.745

27.412,3.539,-0.873
28.055,2.773,-0.873
28.055,2.773,-1.309
28.055,2.773,-1.309

28.055,2.773,-0.873
28.055,2.773,-0.873

28.055,2.773,-0.873
28.698,2.007,-0.873
28.698,2.007,-0.436
29.604,1.584,-0.436
29.604,1.584,-0.436

28.698,2.007,-1.309
28.698,2.007,-1.309

27.412,3.539,-0.873
28.055,2.773,-0.873
28.698,2.007,-0.873
28.698,2.007,-0.436
29.604,1.584,-0.436
30.51,1.162,-0.436
31.416,0.739,-0.436
31.416,0.739,-0.873
31.416,0.739,-0.873

31.416,0.739,-0.437
31.416,0.739,-0.437

31.416,0.739,-0.437
32.322,0.316,-0.437
32.322,0.316,0.0
33.322,0.316,0.0
33.322,0.316,0.0

32.322,0.316,-0.873
32.322,0.316,-0.873

28.698,2.007,-1.309
28.956,1.041,-1.309
28.956,1.041,-1.746
28.956,1.041,-1.746

28.956,1.041,-1.31
28.956,1.041,-1.31

28.956,1.041,-1.31
29.214,0.075,-1.31
29.214,0.075,-0.873
29.856,-0.692,-0.873
29.856,-0.692,-0.873

29.214,0.075,-1.746
29.214,0.075,-1.746

26.126,5.071,-0.437
27.032,4.648,-0.437
27.938,4.225,-0.437
27.938,4.225,-0.873
28.581,3.459,-0.873
28.581,3.459,-1.309
28.581,3.459,-1.309

28.581,3.459,-0.873
28.581,3.459,-0.873

28.581,3.459,-0.873
29.224,2.693,-0.873
29.224,2.693,-0.436
30.13,2.27,-0.436
30.13,2.27,-0.436

29.224,2.693,-1.309
29.224,2.693,-1.309

27.938,4.225,-0.437
28.844,3.802,-0.437
28.844,3.802,-0.873
28.844,3.802,-0.873

28.844,3.802,-0.437
28.844,3.802,-0.437

28.844,3.802,-0.437
29.75,3.379,-0.437
29.75,3.379,0.0
30.75,3.379,0.0
30.75,3.379,0.0

29.75,3.379,-0.873
29.75,3.379,-0.873

27.938,4.225,-0.437
28.844,3.802,-0.437
29.75,3.379,-0.437
29.75,3.379,0.0
30.75,3.379,0.0
31.75,3.378,0.0
32.75,3.378,0.0
32.75,3.378,-0.437
32.75,3.378,-0.437

32.75,3.378,-0.001
32.75,3.378,-0.001

32.75,3.378,-0.001
33.75,3.377,-0.001
33.75,3.377,0.436
34.657,3.799,0.436
34.657,3.799,0.436

33.75,3.377,-0.437
33.75,3.377,-0.437

29.75,3.379,-0.873
30.392,2.613,-0.873
30.392,2.613,-1.31
30.392,2.613,-1.31

30.392,2.613,-0.874
30.392,2.613,-0.874

30.392,2.613,-0.874
31.034,1.846,-0.874
31.034,1.846,-0.437
31.94,1.423,-0.437
31.94,1.423,-0.437

31.034,1.846,-1.31
31.034,1.846,-1.31

26.126,5.071,-0.437
27.032,4.648,-0.437
27.938,4.225,-0.437
28.844,3.802,-0.437
29.751,3.379,-0.437
29.751,3.379,0.0
30.751,3.379,0.0
31.751,3.379,0.0
32.751,3.378,0.0
33.751,3.378,0.0
34.751,3.378,0.0
35.751,3.377,0.0
35.751,3.377,-0.437
36.657,2.954,-0.437
36.657,2.954,-0.873
36.657,2.954,-0.873

36.657,2.954,-0.437
36.657,2.954,-0.437

36.657,2.954,-0.437
37.563,2.531,-0.437
37.563,2.531,0.0
38.563,2.531,0.0
38.563,2.531,0.0

37.563,2.531,-0.873
37.563,2.531,-0.873

35.751,3.377,-0.001
36.751,3.376,-0.001
36.751,3.376,-0.437
36.751,3.376,-0.437

36.751,3.376,-0.001
36.751,3.376,-0.001

36.751,3.376,-0.001
37.751,3.375,-0.001
37.751,3.375,0.436
38.658,3.797,0.436
38.658,3.797,0.436

37.751,3.375,-0.437
37.751,3.375,-0.437

35.751,3.377,-0.001
36.751,3.376,-0.001
37.751,3.376,-0.001
37.751,3.376,0.436
38.658,3.798,0.436
39.564,4.22,0.436
40.471,4.642,0.436
40.471,4.642,-0.001
40.471,4.642,-0.001

40.471,4.642,0.435
40.471,4.642,0.435

40.471,4.642,0.435
41.378,5.064,0.435
41.378,5.064,0.872
42.021,5.829,0.872
42.021,5.829,0.872

41.378,5.064,-0.001
41.378,5.064,-0.001

37.751,3.376,-0.437
38.657,2.952,-0.437
38.657,2.952,-0.874
38.657,2.952,-0.874

38.657,2.952,-0.438
38.657,2.952,-0.438

38.657,2.952,-0.438
39.563,2.528,-0.438
39.563,2.528,-0.001
40.563,2.527,-0.001
40.563,2.527,-0.001

39.563,2.528,-0.874
39.563,2.528,-0.874

29.751,3.379,-0.873
30.393,2.613,-0.873
31.036,1.846,-0.873
31.036,1.846,-1.31
31.294,0.88,-1.31
31.294,0.88,-1.746
31.294,0.88,-1.746

31.294,0.88,-1.31
31.294,0.88,-1.31

31.294,0.88,-1.31
31.552,-0.086,-1.31
31.552,-0.086,-0.873
32.194,-0.853,-0.873
32.194,-0.853,-0.873

31.552,-0.086,-1.746
31.552,-0.086,-1.746

31.036,1.846,-0.874
31.678,1.079,-0.874
31.678,1.079,-1.31
31.678,1.079,-1.31

31.678,1.079,-0.874
31.678,1.079,-0.874

31.678,1.079,-0.874
32.32,0.312,-0.874
32.32,0.312,-0.437
33.226,-0.111,-0.437
33.226,-0.111,-0.437

32.32,0.312,-1.31
32.32,0.312,-1.31

31.036,1.846,-0.874
31.678,1.079,-0.874
32.32,0.313,-0.874
32.32,0.313,-0.437
33.226,-0.111,-0.437
34.132,-0.534,-0.437
